Name,Team,Position,Height,Weight,College,Salary
Saddiq Bey,Atlanta Hawks,F,6-7,215,Villanova,4556983
Bogdan Bogdanovic,Atlanta Hawks,G,6-5,225,Fenerbahce,18700000
Kobe Bufkin,Atlanta Hawks,G,6-5,195,Michigan,4094244
Clint Capela,Atlanta Hawks,C,6-10,256,Elan Chalon,20616000
Bruno Fernando,Atlanta Hawks,F-C,6-10,240,Maryland,2581522
Trent Forrest,Atlanta Hawks,G,6-4,210,Florida State,508891
AJ Griffin,Atlanta Hawks,F,6-6,220,Duke,3712920
Mouhamed Gueye,Atlanta Hawks,F,6-11,210,Washington State,1119563
De'Andre Hunter,Atlanta Hawks,F-G,6-8,221,Virginia,20089286
Jalen Johnson,Atlanta Hawks,F,6-8,219,Duke,2925360
Seth Lundy,Atlanta Hawks,G,6-6,220,Penn State,559782
Garrison Mathews,Atlanta Hawks,G,6-6,215,Lipscomb,2000000
Wesley Matthews,Atlanta Hawks,G,6-5,220,Marquette,3196448
Patty Mills,Atlanta Hawks,G,6-0,180,St. Mary's,6802950
Dejounte Murray,Atlanta Hawks,G,6-5,180,Washington,18214000
Miles Norris,Atlanta Hawks,,,,,559782
Onyeka Okongwu,Atlanta Hawks,F-C,6-9,240,Southern California,8109063
Trae Young,Atlanta Hawks,G,6-1,164,Oklahoma,40064220
Dalano Banton,Boston Celtics,F,6-7,204,Nebraska,2019706
Oshae Brissett,Boston Celtics,F-G,6-7,210,Syracuse,2165000
Malcolm Brogdon,Boston Celtics,G,6-4,229,Virginia,22500000
Jaylen Brown,Boston Celtics,G-F,6-6,223,California,31830357
JD Davison,Boston Celtics,G,6-1,195,Alabama,559782
Blake Griffin,Boston Celtics,F,6-9,250,Oklahoma,
Sam Hauser,Boston Celtics,F,6-7,217,Virginia,1927896
Al Horford,Boston Celtics,C-F,6-9,240,Florida,10000000
Mfiondu Kabengele,Boston Celtics,C,6-10,250,Florida State,
Luke Kornet,Boston Celtics,C-F,7-2,250,Vanderbilt,2413304
Svi Mykhailiuk,Boston Celtics,G-F,6-7,205,Kansas,
Kristaps Porzingis,Boston Celtics,F-C,7-3,240,Cajasol Sevilla,36016200
Payton Pritchard,Boston Celtics,G,6-1,195,Oregon,4037277
Jay Scrubb,Boston Celtics,G,6-5,220,John A. Logan,559782
Jayson Tatum,Boston Celtics,F-G,6-8,210,Duke,32600060
Jordan Walsh,Boston Celtics,G,6-7,205,Arkansas,1119563
Derrick White,Boston Celtics,G,6-4,190,Colorado,18357143
Robert Williams III,Boston Celtics,C-F,6-9,237,Texas A&M,
Darius Bazley,Brooklyn Nets,F,6-9,216,Princeton HS (OH),2165000
Mikal Bridges,Brooklyn Nets,G-F,6-6,209,Villanova,21700000
Armoni Brooks,Brooklyn Nets,G,6-3,195,Houston,559782
Nic Claxton,Brooklyn Nets,C,6-11,215,Georgia,
Noah Clowney,Brooklyn Nets,F,6-10,210,Alabama,3089460
Spencer Dinwiddie,Brooklyn Nets,G,6-5,215,Colorado,20357143
Dorian Finney-Smith,Brooklyn Nets,F,6-7,220,Florida,13932008
Cameron Johnson,Brooklyn Nets,F,6-8,210,North Carolina,25679348
Royce O'Neale,Brooklyn Nets,F,6-6,226,Baylor,9500000
Day'Ron Sharpe,Brooklyn Nets,C,6-9,265,North Carolina,2210040
Ben Simmons,Brooklyn Nets,G-F,6-10,240,Louisiana State,37893408
Dennis Smith Jr.,Brooklyn Nets,G,6-2,205,North Carolina State,
Cam Thomas,Brooklyn Nets,G,6-3,210,Louisiana State,2240160
Lonnie Walker IV,Brooklyn Nets,G-F,6-4,204,Miami,
Trendon Watford,Brooklyn Nets,F,6-8,237,Louisiana State,2019706
Dariq Whitehead,Brooklyn Nets,F,6-7,220,Duke,2966040
Jalen Wilson,Brooklyn Nets,F,6-8,220,Kansas,559782
Amari Bailey,Charlotte Hornets,G,6-5,185,UCLA,559782
LaMelo Ball,Charlotte Hornets,G,6-7,180,Illawarra,10900635
Leaky Black,Charlotte Hornets,F,6-9,209,North Carolina,559782
James Bouknight,Charlotte Hornets,G,6-4,190,Connecticut,4570080
Miles Bridges,Charlotte Hornets,F,6-7,225,Michigan State,7921300
Gordon Hayward,Charlotte Hornets,F,6-7,225,Butler,31500000
Kai Jones,Charlotte Hornets,C-F,6-11,221,Texas,3047880
Theo Maledon,Charlotte Hornets,G,6-5,175,Asvel,
Cody Martin,Charlotte Hornets,F,6-6,205,Nevada,7560000
Bryce McGowens,Charlotte Hornets,G,6-6,175,Nebraska,1719864
Brandon Miller,Charlotte Hornets,F,6-9,200,Alabama,10880364
James Nnaji,Charlotte Hornets,F,6-11,250,FC Barcelona,
Frank Ntilikina,Charlotte Hornets,G,6-4,200,Strasbourg IG,2528233
Kelly Oubre Jr.,Charlotte Hornets,F-G,6-6,203,Kansas,
Nick Richards,Charlotte Hornets,C,7-0,245,Kentucky,
Terry Rozier,Charlotte Hornets,G,6-1,190,Louisville,23205221
Nick Smith Jr.,Charlotte Hornets,G,6-5,185,Arkansas,
JT Thor,Charlotte Hornets,F,6-9,203,Auburn,1836096
P.J. Washington,Charlotte Hornets,F,6-7,230,Kentucky,
Mark Williams,Charlotte Hornets,C,7-0,240,Duke,3908160
Lonzo Ball,Chicago Bulls,G,6-6,190,UCLA,20465117
Onuralp Bitim,Chicago Bulls,F,6-6,215,,559782
Jevon Carter,Chicago Bulls,G,6-1,200,West Virginia,6190476
Alex Caruso,Chicago Bulls,G,6-5,186,Texas A&M,9460000
Torrey Craig,Chicago Bulls,F,6-7,221,South Carolina Upstate,2528233
DeMar DeRozan,Chicago Bulls,G-F,6-6,220,Southern California,28600000
Ayo Dosunmu,Chicago Bulls,G,6-5,200,Illinois,6481482
Andre Drummond,Chicago Bulls,C,6-11,279,Connecticut,3360000
Javonte Green,Chicago Bulls,G,6-5,205,Radford,
Carlik Jones,Chicago Bulls,G,6-0,174,Louisville,1927896
Zach LaVine,Chicago Bulls,G,6-5,200,UCLA,40064220
Justin Lewis,Chicago Bulls,F,6-7,245,Marquette,
Julian Phillips,Chicago Bulls,F,6-8,198,Tennessee,1600000
Adama Sanogo,Chicago Bulls,F,6-9,245,Connecticut,559782
Terry Taylor,Chicago Bulls,F,6-4,230,Austin Peay,2019706
Dalen Terry,Chicago Bulls,F,6-7,195,Arizona,3350760
Nikola Vucevic,Chicago Bulls,C,6-10,260,Southern California,18518519
Coby White,Chicago Bulls,G,6-5,195,North Carolina,11111111
Patrick Williams,Chicago Bulls,F,6-7,215,Florida State,9835881
Jarrett Allen,Cleveland Cavaliers,C,6-9,243,Texas,20000000
Emoni Bates,Cleveland Cavaliers,F,6-9,170,Eastern Michigan,559782
Mamadi Diakite,Cleveland Cavaliers,F,6-9,228,Virginia,
Darius Garland,Cleveland Cavaliers,G,6-1,192,Vanderbilt,34005250
Danny Green,Cleveland Cavaliers,G,6-6,215,North Carolina,
Ty Jerome,Cleveland Cavaliers,G-F,6-5,195,Virginia,2439025
Damian Jones,Cleveland Cavaliers,C,6-11,245,Vanderbilt,2586665
Caris LeVert,Cleveland Cavaliers,G,6-6,205,Michigan,15384616
Sam Merrill,Cleveland Cavaliers,G,6-4,205,Utah State,1997238
Donovan Mitchell,Cleveland Cavaliers,G,6-1,215,Louisville,33162030
Evan Mobley,Cleveland Cavaliers,C,6-11,215,Southern California,8882640
Isaiah Mobley,Cleveland Cavaliers,F,6-8,238,Southern California,559782
Raul Neto,Cleveland Cavaliers,G,6-2,180,Murcia,
Georges Niang,Cleveland Cavaliers,F,6-7,230,Iowa State,8800000
Isaac Okoro,Cleveland Cavaliers,F-G,6-5,225,Auburn,8920794
Craig Porter,Cleveland Cavaliers,G,6-2,180,Wichita State,559782
Ricky Rubio,Cleveland Cavaliers,G,6-2,190,FC Barcelona,6146342
Max Strus,Cleveland Cavaliers,G-F,6-5,215,DePaul,14487684
Dean Wade,Cleveland Cavaliers,F-C,6-9,228,Kansas State,5709877
Greg Brown III,Dallas Mavericks,F,6-7,206,Texas,
Seth Curry,Dallas Mavericks,G,6-1,185,Duke,4000000
Luka Doncic,Dallas Mavericks,F-G,6-7,230,Real Madrid,40064220
Dante Exum,Dallas Mavericks,G,6-5,214,Australian Institute of Sport,3000000
Josh Green,Dallas Mavericks,G,6-7,200,Arizona,4765339
Tim Hardaway Jr.,Dallas Mavericks,G-F,6-5,205,Michigan,
Jaden Hardy,Dallas Mavericks,G,6-3,198,NBA G League Ignite,1719864
Richaun Holmes,Dallas Mavericks,F,6-8,235,Bowling Green,12046020
Kyrie Irving,Dallas Mavericks,G,6-2,195,Duke,37037037
Derrick Jones Jr.,Dallas Mavericks,F,6-6,210,UNLV,
Maxi Kleber,Dallas Mavericks,F,6-10,240,Bayern Munich,11000000
A.J. Lawson,Dallas Mavericks,G,6-6,179,South Carolina,
Dereck Lively II,Dallas Mavericks,C,7-1,230,Duke,
Mike Miles Jr.,Dallas Mavericks,G,6-2,195,TCU,
Markieff Morris,Dallas Mavericks,F,6-9,245,Kansas,
Theo Pinson,Dallas Mavericks,G-F,6-7,212,North Carolina,
Dwight Powell,Dallas Mavericks,F-C,6-10,240,Stanford,4000000
Olivier-Maxence Prosper,Dallas Mavericks,F,6-8,230,Marquette,2733720
Jordan Walker,Dallas Mavericks,,,,,1119563
Joe Wieskamp,Dallas Mavericks,G-F,6-6,205,Iowa,2019706
Grant Williams,Dallas Mavericks,F,6-6,236,Tennessee,12405000
Christian Wood,Dallas Mavericks,F,6-9,214,UNLV,
McKinley Wright IV,Dallas Mavericks,G,5-11,192,Colorado,
Souley Boum,Denver Nuggets,,,,,1119563
Christian Braun,Denver Nuggets,G,6-6,220,Kansas,2949120
Kentavious Caldwell-Pope,Denver Nuggets,G,6-5,204,Georgia,14704938
Vlatko Cancar,Denver Nuggets,F,6-8,236,San Pablo Burgos,2234359
Armaan Franklin,Denver Nuggets,,,,,1119563
Andrew Funk,Denver Nuggets,G,6-5,200,Penn State,1119563
Collin Gillespie,Denver Nuggets,G,6-1,195,Villanova,559782
Aaron Gordon,Denver Nuggets,F,6-8,235,Arizona,22266182
Justin Holiday,Denver Nuggets,F-G,6-6,180,Washington,3196448
Jay Huff,Denver Nuggets,C,7-1,240,Virginia,559782
Reggie Jackson,Denver Nuggets,G,6-2,208,Boston College,5000000
Nikola Jokic,Denver Nuggets,C,6-11,284,Mega Basket,47607350
DeAndre Jordan,Denver Nuggets,C,6-11,265,Texas A&M,3196448
Braxton Key,Denver Nuggets,F,6-8,225,Virginia,559782
Jamal Murray,Denver Nuggets,G,6-4,215,Kentucky,33833400
Zeke Nnaji,Denver Nuggets,F-C,6-9,240,Arizona,4306281
Jalen Pickett,Denver Nuggets,G,6-4,202,Penn State,1708143
Michael Porter Jr.,Denver Nuggets,F,6-10,218,Missouri,
Ish Smith,Denver Nuggets,G,6-0,175,Wake Forest,
Julian Strawther,Denver Nuggets,G,6-7,205,Gonzaga,2431044
Hunter Tyson,Denver Nuggets,F,6-8,215,Clemson,1119563
Peyton Watson,Denver Nuggets,G,6-7,200,UCLA,2303520
Marvin Bagley III,Detroit Pistons,F,6-10,235,Duke,
Buddy Boeheim,Detroit Pistons,F,6-6,205,Syracuse,1801769
Bojan Bogdanovic,Detroit Pistons,F,6-7,226,Fenerbahce,20000000
Alec Burks,Detroit Pistons,G,6-6,214,Colorado,10489600
Malcolm Cazalon,Detroit Pistons,G,6-6,185,Mega Basket,559782
Cade Cunningham,Detroit Pistons,G,6-7,220,Oklahoma State,11055360
Jalen Duren,Detroit Pistons,C,6-11,250,Memphis,4330680
Tosan Evbuomwan,Detroit Pistons,F,6-8,217,Princeton,1119563
Joe Harris,Detroit Pistons,G-F,6-6,220,Virginia,19928571
Killian Hayes,Detroit Pistons,G,6-5,195,Ratiopharm Ulm,7413955
Jaden Ivey,Detroit Pistons,G,6-4,195,Purdue,7614480
Isaiah Livers,Detroit Pistons,F,6-6,232,Michigan,1836096
Monte Morris,Detroit Pistons,G,6-2,183,Iowa State,9800926
Jared Rhoden,Detroit Pistons,G,6-6,210,Seton Hall,559782
Marcus Sasser,Detroit Pistons,G,6-2,195,Houston,2624028
Isaiah Stewart,Detroit Pistons,F-C,6-8,250,Washington,5266713
Ausar Thompson,Detroit Pistons,G-F,6-7,205,Overtime Elite,7977420
Stanley Umude,Detroit Pistons,G,6-6,210,Arkansas,1801769
James Wiseman,Detroit Pistons,C,7-0,240,Memphis,12119440
Stephen Curry,Golden State Warriors,G,6-2,185,Davidson,51915615
Draymond Green,Golden State Warriors,F,6-6,230,Michigan State,22321429
JaMychal Green,Golden State Warriors,F-C,6-9,227,Alabama,
Andre Iguodala,Golden State Warriors,G-F,6-6,215,Arizona,
Trayce Jackson-Davis,Golden State Warriors,F,6-9,245,Indiana,1119563
Cory Joseph,Golden State Warriors,G,6-3,200,Texas,3196448
Jonathan Kuminga,Golden State Warriors,F,6-7,225,NBA G League Ignite,6012840
Anthony Lamb,Golden State Warriors,F,6-6,227,Vermont,
Kevon Looney,Golden State Warriors,F,6-9,222,UCLA,7500000
Moses Moody,Golden State Warriors,G,6-5,211,Arkansas,3918480
Chris Paul,Golden State Warriors,G,6-0,175,Wake Forest,30800000
Gary Payton II,Golden State Warriors,G,6-2,195,Oregon State,8715000
Brandin Podziemski,Golden State Warriors,G,6-5,205,Santa Clara,3352404
Lester Quinones,Golden State Warriors,G,6-4,208,Memphis,559782
Dario Saric,Golden State Warriors,F-C,6-10,225,Anadolu Efes,2709849
Klay Thompson,Golden State Warriors,G,6-6,220,Washington State,43219440
Andrew Wiggins,Golden State Warriors,F,6-7,197,Kansas,24330357
Dillon Brooks,Houston Rockets,G-F,6-6,225,Oregon,22627671
Darius Days,Houston Rockets,F,6-7,245,Louisiana State,559782
Tari Eason,Houston Rockets,F,6-8,215,Louisiana State,3527160
Jalen Green,Houston Rockets,G,6-4,186,NBA G League Ignite,9891480
Jeff Green,Houston Rockets,F,6-8,235,Georgetown,9600000
Nate Hinton,Houston Rockets,G-F,6-5,210,Houston,2019706
Aaron Holiday,Houston Rockets,G,6-0,185,UCLA,2346614
Trevor Hudgins,Houston Rockets,G,6-0,180,Northwest Missouri State,559782
Jock Landale,Houston Rockets,C,6-11,255,St. Mary's,8000000
Matthew Mayer,Houston Rockets,F,6-9,225,Illinois,1119563
Joshua Obiesie,Houston Rockets,G-F,6-6,195,,1119563
Kevin Porter Jr.,Houston Rockets,G-F,6-4,203,Southern California,
Jermaine Samuels Jr.,Houston Rockets,F,6-7,230,Villanova,
Alperen Sengun,Houston Rockets,C,6-11,243,Besiktas,3536280
Jabari Smith Jr.,Houston Rockets,F,6-11,220,Auburn,
Jae'Sean Tate,Houston Rockets,F,6-5,230,Ohio State,6500000
Amen Thompson,Houston Rockets,G-F,6-7,200,Overtime Elite,8809284
Fred VanVleet,Houston Rockets,G,6-0,197,Wichita State,40806300
Cam Whitmore,Houston Rockets,F,6-7,230,Villanova,
Jeenathan Williams,Houston Rockets,G,6-5,205,Buffalo,1801769
Bruce Brown,Indiana Pacers,G-F,6-4,202,Miami,22000000
Kendall Brown,Indiana Pacers,G,6-7,205,Baylor,559782
Tyrese Haliburton,Indiana Pacers,G,6-5,185,Iowa State,5808435
Buddy Hield,Indiana Pacers,G,6-4,220,Oklahoma,19279841
Isaiah Jackson,Indiana Pacers,F,6-9,205,Kentucky,2696280
James Johnson,Indiana Pacers,F,6-7,240,Wake Forest,
Mojave King,Indiana Pacers,G,6-5,195,NBA G League Ignite,
Bennedict Mathurin,Indiana Pacers,G-F,6-5,210,Arizona,6916080
T.J. McConnell,Indiana Pacers,G,6-1,190,Arizona,
Andrew Nembhard,Indiana Pacers,G-F,6-3,191,Gonzaga,2131905
Aaron Nesmith,Indiana Pacers,G-F,6-5,215,Vanderbilt,5634257
Jordan Nwora,Indiana Pacers,F,6-9,225,Louisville,3000000
Ben Sheppard,Indiana Pacers,G,6-6,190,Belmont,2537172
Jalen Smith,Indiana Pacers,F-C,6-9,215,Maryland,5043773
Daniel Theis,Indiana Pacers,F-C,6-8,245,Brose Bamberg,9108386
Obi Toppin,Indiana Pacers,F,6-9,220,Dayton,6803012
Oscar Tshiebwe,Indiana Pacers,F-C,6-9,255,Kentucky,559782
Myles Turner,Indiana Pacers,C-F,6-11,250,Texas,20975000
Jarace Walker,Indiana Pacers,F,6-8,235,Houston,6059460
Isaiah Wong,Indiana Pacers,G,6-3,185,Miami,559782
Gabe York,Indiana Pacers,G,6-3,190,Arizona,
Nicolas Batum,Los Angeles Clippers,G-F,6-8,230,Le Mans,11710818
Brandon Boston Jr.,Los Angeles Clippers,G,6-6,188,Kentucky,
Kobe Brown,Los Angeles Clippers,F,6-8,250,Missouri,2413356
Amir Coffey,Los Angeles Clippers,G-F,6-7,210,Minnesota,3666667
Robert Covington,Los Angeles Clippers,F,6-7,209,Tennessee State,11692308
Moussa Diabate,Los Angeles Clippers,F,6-10,210,Michigan,559782
Paul George,Los Angeles Clippers,F,6-8,220,Fresno State,45640084
Bones Hyland,Los Angeles Clippers,G,6-2,169,Virginia Commonwealth,2306400
Kawhi Leonard,Los Angeles Clippers,F,6-7,225,San Diego State,45640084
Terance Mann,Los Angeles Clippers,G-F,6-5,215,Florida State,10576923
Kenyon Martin Jr.,Los Angeles Clippers,F,6-7,215,IMG Academy (FL),
Jordan Miller,Los Angeles Clippers,G,6-7,194,Miami,559782
Xavier Moon,Los Angeles Clippers,G,6-0,165,Morehead State,
Marcus Morris Sr.,Los Angeles Clippers,F,6-8,218,Kansas,
Mason Plumlee,Los Angeles Clippers,F-C,7-0,254,Duke,5000000
Norman Powell,Los Angeles Clippers,G,6-4,215,UCLA,18000000
Jason Preston,Los Angeles Clippers,G,6-3,181,Ohio,1836096
Russell Westbrook,Los Angeles Clippers,G,6-3,200,UCLA,3835738
Ivica Zubac,Los Angeles Clippers,C,7-0,240,Mega Basket,10933333
Colin Castleton,Los Angeles Lakers,C,6-11,250,Florida,559782
Max Christie,Los Angeles Lakers,G,6-5,190,Michigan State,1719864
Anthony Davis,Los Angeles Lakers,F-C,6-10,253,Kentucky,40600080
Alex Fudge,Los Angeles Lakers,F,6-9,200,Florida,559782
Wenyen Gabriel,Los Angeles Lakers,F,6-9,205,Kentucky,
Rui Hachimura,Los Angeles Lakers,F,6-8,230,Gonzaga,15740741
Jaxson Hayes,Los Angeles Lakers,C-F,7-0,220,Texas,2165000
D'Moi Hodge,Los Angeles Lakers,G,6-4,188,Missouri,559782
Jalen Hood-Schifino,Los Angeles Lakers,G,6-6,215,Indiana,3695076
LeBron James,Los Angeles Lakers,F,6-9,250,St. Vincent-St. Mary HS (OH),47607350
Maxwell Lewis,Los Angeles Lakers,F,6-7,195,Pepperdine,1119563
Scotty Pippen Jr.,Los Angeles Lakers,G,6-1,170,Vanderbilt,
Taurean Prince,Los Angeles Lakers,F,6-6,218,Baylor,4516000
Austin Reaves,Los Angeles Lakers,G,6-5,197,Oklahoma,12015150
Cam Reddish,Los Angeles Lakers,F-G,6-7,217,Duke,2165000
D'Angelo Russell,Los Angeles Lakers,G,6-4,193,Ohio State,17307693
Tristan Thompson,Los Angeles Lakers,C-F,6-9,254,Texas-Austin,
Jarred Vanderbilt,Los Angeles Lakers,F,6-8,214,Kentucky,4698000
Gabe Vincent,Los Angeles Lakers,G,6-2,200,California-Santa Barbara,10500000
Steven Adams,Memphis Grizzlies,C,6-11,265,Pittsburgh,12600000
Santi Aldama,Memphis Grizzlies,F-C,7-0,215,Loyola-Maryland,
Desmond Bane,Memphis Grizzlies,G,6-5,215,TCU,3845083
Tarik Biberovic,Memphis Grizzlies,F,6-7,218,,
Josh Christopher,Memphis Grizzlies,G,6-4,215,Arizona State,2485200
Brandon Clarke,Memphis Grizzlies,F,6-8,215,Gonzaga,12500000
Jacob Gilyard,Memphis Grizzlies,G,5-9,160,Richmond,559782
Shaquille Harrison,Memphis Grizzlies,G,6-4,195,Tulsa,2528233
GG Jackson,Memphis Grizzlies,F,6-9,210,South Carolina,
Jaren Jackson Jr.,Memphis Grizzlies,F-C,6-10,242,Michigan State,
Luke Kennard,Memphis Grizzlies,G,6-5,206,Duke,14763636
John Konchar,Memphis Grizzlies,G,6-5,210,Indiana-Purdue Fort Wayne,2400000
Jake LaRavia,Memphis Grizzlies,F,6-7,235,Wake Forest,3199920
Kenneth Lofton Jr.,Memphis Grizzlies,F,6-6,275,Louisiana Tech,
Ja Morant,Memphis Grizzlies,G,6-2,174,Murray State,34005250
David Roddy,Memphis Grizzlies,F,6-4,255,Colorado State,2718240
Derrick Rose,Memphis Grizzlies,G,6-3,200,Memphis,3196448
Marcus Smart,Memphis Grizzlies,G,6-4,220,Oklahoma State,18583713
Xavier Tillman,Memphis Grizzlies,F,6-7,245,Michigan State,1930681
Isaiah Todd,Memphis Grizzlies,F,6-9,219,NBA G League Ignite,1836096
Ziaire Williams,Memphis Grizzlies,F,6-9,185,Stanford,4810200
Vince Williams Jr.,Memphis Grizzlies,G,6-4,205,Virginia Commonwealth,
Bam Adebayo,Miami Heat,C-F,6-9,255,Kentucky,32600060
Jamaree Bouyea,Miami Heat,G,6-2,180,San Francisco,559782
Thomas Bryant,Miami Heat,C-F,6-10,248,Indiana,2528233
Jimmy Butler,Miami Heat,F,6-7,230,Marquette,45183960
