Name,Team,Position,Height,Weight,College,Salary
Jamal Cain,Miami Heat,F,6-6,191,Oakland,559782
Justin Champagnie,Miami Heat,G-F,6-6,206,Pittsburgh,2019706
Caleb Daniels,Miami Heat,,,,,1119563
Udonis Haslem,Miami Heat,F,6-7,235,Florida,
Tyler Herro,Miami Heat,G,6-5,195,Kentucky,27000000
Haywood Highsmith,Miami Heat,F,6-5,220,Wheeling Jesuit,1902137
Jaime Jaquez Jr.,Miami Heat,G,6-7,225,UCLA,
Nikola Jovic,Miami Heat,F,6-10,205,Mega Basket,2352000
Kevin Love,Miami Heat,F-C,6-8,251,UCLA,3835738
Kyle Lowry,Miami Heat,G,6-0,196,Villanova,29682540
Caleb Martin,Miami Heat,F,6-5,205,Nevada,6802950
Drew Peterson,Miami Heat,F,6-9,205,Southern California,1119563
Josh Richardson,Miami Heat,G,6-6,200,Tennessee,2891467
Duncan Robinson,Miami Heat,F,6-7,215,Michigan,18154000
Orlando Robinson,Miami Heat,C,6-10,235,Fresno State,1801769
Dru Smith,Miami Heat,G,6-3,203,Missouri,559782
Cole Swider,Miami Heat,F,6-9,220,Syracuse,1801769
Alondes Williams,Miami Heat,G,6-4,210,Wake Forest,1801769
Grayson Allen,Milwaukee Bucks,G,6-4,198,Duke,8925000
Giannis Antetokounmpo,Milwaukee Bucks,F,7-0,243,Filathlitikos,45640084
Thanasis Antetokounmpo,Milwaukee Bucks,F,6-7,219,Panathinaikos,2346614
Malik Beasley,Milwaukee Bucks,G,6-4,187,Florida State,2709849
MarJon Beauchamp,Milwaukee Bucks,F,6-7,199,NBA G League Ignite,2609400
Pat Connaughton,Milwaukee Bucks,G,6-5,209,Notre Dame,9423869
Jae Crowder,Milwaukee Bucks,F,6-6,235,Marquette,3196448
Goran Dragic,Milwaukee Bucks,G,6-4,190,Union Olimpija,
Jazian Gortman,Milwaukee Bucks,G,6-2,184,,1119563
AJ Green,Milwaukee Bucks,G,6-5,190,Northern Iowa,1901769
Jrue Holiday,Milwaukee Bucks,G,6-5,205,UCLA,36861707
Andre Jackson Jr.,Milwaukee Bucks,G,6-6,209,Connecticut,
Meyers Leonard,Milwaukee Bucks,F-C,7-0,260,Illinois,
Chris Livingston,Milwaukee Bucks,F,6-6,220,Kentucky,1119563
Brook Lopez,Milwaukee Bucks,C,7-1,282,Stanford,25000000
Robin Lopez,Milwaukee Bucks,C,7-0,281,Stanford,3196448
Khris Middleton,Milwaukee Bucks,F,6-7,222,Texas A&M,29320988
Omari Moore,Milwaukee Bucks,G,6-6,195,San Jose State,559782
Bobby Portis,Milwaukee Bucks,F,6-11,250,Arkansas,11710818
Drew Timme,Milwaukee Bucks,F,6-10,235,Gonzaga,
TyTy Washington Jr.,Milwaukee Bucks,G,6-3,195,Kentucky,
Lindell Wigginton,Milwaukee Bucks,G,6-1,189,Iowa State,559782
Nickeil Alexander-Walker,Minnesota Timberwolves,G,6-5,205,Virginia Tech,4687500
Kyle Anderson,Minnesota Timberwolves,F-G,6-9,230,UCLA,9219512
Troy Brown Jr.,Minnesota Timberwolves,G-F,6-7,215,Oregon,
Jaylen Clark,Minnesota Timberwolves,G,6-5,205,UCLA,559782
Mike Conley,Minnesota Timberwolves,G,6-1,175,Ohio State,24360000
Anthony Edwards,Minnesota Timberwolves,G,6-4,225,Georgia,13534817
Luka Garza,Minnesota Timberwolves,C,6-10,243,Iowa,559782
Rudy Gobert,Minnesota Timberwolves,C,7-1,258,Cholet,41000000
Jaden McDaniels,Minnesota Timberwolves,F,6-9,185,Washington,3901399
Jordan McLaughlin,Minnesota Timberwolves,G,6-0,185,Southern California,2320000
Leonard Miller,Minnesota Timberwolves,F,6-10,210,NBA G League Ignite,1800000
Shake Milton,Minnesota Timberwolves,G-F,6-5,205,Southern Methodist,5000000
Josh Minott,Minnesota Timberwolves,F,6-8,205,Memphis,1719864
Wendell Moore Jr.,Minnesota Timberwolves,G,6-5,215,Duke,
Jaylen Nowell,Minnesota Timberwolves,G,6-4,201,Washington,
Naz Reid,Minnesota Timberwolves,C-F,6-9,264,Louisiana State,12950400
Austin Rivers,Minnesota Timberwolves,G,6-4,200,Duke,
Matt Ryan,Minnesota Timberwolves,F,6-6,215,Tennessee-Chattanooga,
Karl-Anthony Towns,Minnesota Timberwolves,C-F,7-0,248,Kentucky,36016200
Jose Alvarado,New Orleans Pelicans,G,6-0,179,Georgia Tech,
Dyson Daniels,New Orleans Pelicans,G,6-7,199,NBA G League Ignite,5784120
Jordan Hawkins,New Orleans Pelicans,G,6-5,190,Connecticut,4310196
Willy Hernangomez,New Orleans Pelicans,C-F,6-11,250,Cajasol Sevilla,
Brandon Ingram,New Orleans Pelicans,F,6-8,190,Duke,33833400
Herbert Jones,New Orleans Pelicans,F,6-7,206,Alabama,
Kira Lewis Jr.,New Orleans Pelicans,G,6-1,170,Alabama,
E.J. Liddell,New Orleans Pelicans,F,6-6,240,Ohio State,
Naji Marshall,New Orleans Pelicans,F,6-7,220,Xavier,1930681
CJ McCollum,New Orleans Pelicans,G,6-3,190,Lehigh,35802469
Trey Murphy III,New Orleans Pelicans,F,6-8,206,Virginia,
Larry Nance Jr.,New Orleans Pelicans,F-C,6-8,245,Wyoming,
Dereon Seabron,New Orleans Pelicans,G,6-5,180,North Carolina State,559782
Jonas Valanciunas,New Orleans Pelicans,C,6-11,265,Lietuvos rytas Vilnius,15435000
Zion Williamson,New Orleans Pelicans,F,6-6,284,Duke,34005250
Cody Zeller,New Orleans Pelicans,F-C,6-11,240,Indiana,3196448
RJ Barrett,New York Knicks,F-G,6-6,214,Duke,23883929
Jalen Brunson,New York Knicks,G,6-2,190,Villanova,26346666
Donte DiVincenzo,New York Knicks,G,6-4,203,Villanova,10900000
Evan Fournier,New York Knicks,G-F,6-6,205,Poitiers Basket 86,18857143
Quentin Grimes,New York Knicks,G,6-5,210,Houston,2385720
Josh Hart,New York Knicks,G,6-4,215,Villanova,12960000
Isaiah Hartenstein,New York Knicks,C-F,7-0,250,Zalgiris,9245121
DaQuan Jeffries,New York Knicks,G-F,6-5,222,Tulsa,2066585
Nathan Knight,New York Knicks,F-C,6-8,253,William & Mary,940500
Jaylen Martin,New York Knicks,G,6-6,216,,559782
Miles McBride,New York Knicks,G,6-2,195,West Virginia,1836096
Obadiah Noel,New York Knicks,G,6-4,185,Massachusetts-Lowell,1119563
Immanuel Quickley,New York Knicks,G,6-2,190,Kentucky,4171548
Julius Randle,New York Knicks,F-C,6-8,250,Kentucky,28226880
Mitchell Robinson,New York Knicks,C-F,7-0,240,Western Kentucky,15681818
Isaiah Roby,New York Knicks,F,6-8,230,Nebraska,2066585
Jericho Sims,New York Knicks,C,6-10,250,Texas,1927896
Dmytro Skapintsev,New York Knicks,C,7-1,215,California State-Northridge,1119563
Jacob Toppin,New York Knicks,F,6-9,200,Kentucky,1119563
Duane Washington Jr.,New York Knicks,G,6-2,197,Ohio State,
Dylan Windler,New York Knicks,G-F,6-7,196,Belmont,559782
Davis Bertans,Oklahoma City Thunder,F,6-10,225,Baskonia,17000000
Ousmane Dieng,Oklahoma City Thunder,F,6-9,185,New Zealand Breakers,4798440
Luguentz Dort,Oklahoma City Thunder,G,6-4,220,Arizona State,15277778
Josh Giddey,Oklahoma City Thunder,G,6-8,216,NBA Global Academy,6587040
Shai Gilgeous-Alexander,Oklahoma City Thunder,G,6-6,195,Kentucky,33386850
Chet Holmgren,Oklahoma City Thunder,C-F,7-1,195,Gonzaga,10386000
Isaiah Joe,Oklahoma City Thunder,G,6-3,165,Arkansas,1997238
Keyontae Johnson,Oklahoma City Thunder,F,6-6,230,Kansas State,559782
Tre Mann,Oklahoma City Thunder,G,6-3,178,Florida,3191400
Vasilije Micic,Oklahoma City Thunder,G,6-4,188,Serbia,7723000
Victor Oladipo,Oklahoma City Thunder,G,6-3,213,Indiana,9450000
Aleksej Pokusevski,Oklahoma City Thunder,F,7-0,210,Olympiacos,5009633
Jeremiah Robinson-Earl,Oklahoma City Thunder,F,6-8,240,Villanova,1900000
Olivier Sarr,Oklahoma City Thunder,C,6-11,240,Kentucky,559782
Cason Wallace,Oklahoma City Thunder,G,6-4,195,Kentucky,5291352
Lindy Waters III,Oklahoma City Thunder,F,6-6,210,Oklahoma State,559782
Jack White,Oklahoma City Thunder,F,6-7,225,Duke,1801769
Aaron Wiggins,Oklahoma City Thunder,G,6-5,190,Maryland,1836096
Jalen Williams,Oklahoma City Thunder,G-F,6-5,211,Santa Clara,4558680
Jaylin Williams,Oklahoma City Thunder,F,6-9,240,Arkansas,2000000
Kenrich Williams,Oklahoma City Thunder,G-F,6-6,210,TCU,6175000
Cole Anthony,Orlando Magic,G,6-3,185,North Carolina,5539771
Paolo Banchero,Orlando Magic,F,6-10,250,Duke,11608080
Goga Bitadze,Orlando Magic,C-F,6-11,250,Mega Basket,2066585
Anthony Black,Orlando Magic,G,6-7,200,Arkansas,7245480
Wendell Carter Jr.,Orlando Magic,C-F,6-10,270,Duke,
Michael Carter-Williams,Orlando Magic,G,6-5,190,Syracuse,
Markelle Fultz,Orlando Magic,G,6-4,209,Washington,17000000
Gary Harris,Orlando Magic,G,6-4,210,Michigan State,13000000
Kevon Harris,Orlando Magic,G,6-6,216,Stephen F. Austin,559782
Caleb Houstan,Orlando Magic,G,6-8,205,Michigan,2000000
Jett Howard,Orlando Magic,G,6-8,215,Michigan,5026824
Joe Ingles,Orlando Magic,F-G,6-9,220,Maccabi Tel Aviv,11000000
Jonathan Isaac,Orlando Magic,F,6-10,230,Florida State,17400000
Chuma Okeke,Orlando Magic,F,6-8,229,Auburn,5266712
Admiral Schofield,Orlando Magic,F,6-5,241,Tennessee,
Jalen Suggs,Orlando Magic,G,6-5,205,Gonzaga,7252080
Franz Wagner,Orlando Magic,F,6-10,220,Michigan,5508720
Moritz Wagner,Orlando Magic,F-C,6-11,245,Michigan,8000000
Mo Bamba,Philadelphia 76ers,C,7-0,231,Texas,2346614
Patrick Beverley,Philadelphia 76ers,G,6-2,180,Arkansas,3196448
Ricky Council IV,Philadelphia 76ers,G,6-6,207,Arkansas,
Dewayne Dedmon,Philadelphia 76ers,C,6-10,245,Southern California,2748674
Joel Embiid,Philadelphia 76ers,C-F,7-0,280,Kansas,47607350
James Harden,Philadelphia 76ers,G,6-5,220,Arizona State,35640000
Montrezl Harrell,Philadelphia 76ers,F-C,6-7,240,Louisville,2891467
Tobias Harris,Philadelphia 76ers,F,6-7,226,Tennessee,39270150
Danuel House Jr.,Philadelphia 76ers,F-G,6-6,220,Texas A&M,
Louis King,Philadelphia 76ers,F,6-7,205,Oregon,
Furkan Korkmaz,Philadelphia 76ers,G-F,6-7,202,Anadolu Efes,5370370
Tyrese Maxey,Philadelphia 76ers,G,6-2,200,Kentucky,4343920
Mac McClung,Philadelphia 76ers,G,6-2,185,Texas Tech,
De'Anthony Melton,Philadelphia 76ers,G,6-2,200,Southern California,8000000
Filip Petrusev,Philadelphia 76ers,C,6-11,225,Gonzaga,1119563
Paul Reed,Philadelphia 76ers,F,6-9,210,DePaul,7723000
Javonte Smart,Philadelphia 76ers,G,6-4,205,Louisiana State,
Terquavion Smith,Philadelphia 76ers,G,6-4,160,North Carolina State,559782
Jaden Springer,Philadelphia 76ers,G,6-4,202,Tennessee,2226240
Azuolas Tubelis,Philadelphia 76ers,F,6-11,245,Arizona,559782
P.J. Tucker,Philadelphia 76ers,F,6-5,245,Texas,
Deandre Ayton,Phoenix Suns,C,7-0,250,Arizona,32459438
Udoka Azubuike,Phoenix Suns,C-F,6-11,270,Kansas,559782
Keita Bates-Diop,Phoenix Suns,F,6-8,229,Ohio State,2346614
Bradley Beal,Phoenix Suns,G,6-4,207,Florida,46741590
Bismack Biyombo,Phoenix Suns,C,6-8,255,Baloncesto Fuenlabrada,
Bol Bol,Phoenix Suns,C-F,7-2,220,Oregon,2165000
Devin Booker,Phoenix Suns,G,6-5,206,Kentucky,36016200
Toumani Camara,Phoenix Suns,F,6-8,,Dayton,1119563
Kevin Durant,Phoenix Suns,F,6-10,240,Texas,47649433
Drew Eubanks,Phoenix Suns,F-C,6-10,245,Oregon State,2346614
Jordan Goodwin,Phoenix Suns,G,6-3,200,St. Louis,1927896
Eric Gordon,Phoenix Suns,G,6-3,215,Indiana,3196448
Damion Lee,Phoenix Suns,G-F,6-5,210,Drexel,2528233
Saben Lee,Phoenix Suns,G,6-2,183,Vanderbilt,559782
Chimezie Metu,Phoenix Suns,F-C,6-9,225,Southern California,2346614
Josh Okogie,Phoenix Suns,G,6-4,213,Georgia Tech,2815937
Terrence Ross,Phoenix Suns,G-F,6-7,206,Washington,
Ish Wainright,Phoenix Suns,F,6-5,250,Baylor,
T.J. Warren,Phoenix Suns,F,6-8,220,North Carolina State,
Yuta Watanabe,Phoenix Suns,G-F,6-8,215,George Washington,2346614
Ibou Badji,Portland Trail Blazers,C,7-1,240,FC Barcelona,559782
Moses Brown,Portland Trail Blazers,C,7-2,245,UCLA,2165000
John Butler Jr.,Portland Trail Blazers,F,7-0,190,Florida State,
Jerami Grant,Portland Trail Blazers,F,6-8,210,Syracuse,27586207
Scoot Henderson,Portland Trail Blazers,G,6-2,195,NBA G League Ignite,9770904
Keon Johnson,Portland Trail Blazers,G,6-3,185,Tennessee,2808720
Kevin Knox II,Portland Trail Blazers,F,6-7,215,Kentucky,
Damian Lillard,Portland Trail Blazers,G,6-2,195,Weber State,45640084
Nassir Little,Portland Trail Blazers,F-G,6-5,220,North Carolina,6250000
Kris Murray,Portland Trail Blazers,F,6-8,220,Iowa,2847504
Jusuf Nurkic,Portland Trail Blazers,C,7-0,290,Cedevita,16875000
Rayan Rupert,Portland Trail Blazers,G-F,6-6,185,New Zealand Breakers,1119563
Shaedon Sharpe,Portland Trail Blazers,G,6-5,200,Kentucky,6313800
Anfernee Simons,Portland Trail Blazers,G,6-3,181,Edgewater HS (FL),24107143
Matisse Thybulle,Portland Trail Blazers,G-F,6-5,201,Washington,10500000
Jabari Walker,Portland Trail Blazers,F,6-7,200,Colorado,1719864
Justise Winslow,Portland Trail Blazers,F-G,6-6,222,Duke,
Harrison Barnes,Sacramento Kings,F,6-8,225,North Carolina,17000000
Chris Duarte,Sacramento Kings,G,6-5,190,Oregon,4124400
Kessler Edwards,Sacramento Kings,F,6-7,203,Pepperdine,1927896
Keon Ellis,Sacramento Kings,G,6-3,175,Alabama,559782
De'Aaron Fox,Sacramento Kings,G,6-3,185,Kentucky,32600060
Kevin Huerter,Sacramento Kings,G-F,6-7,198,Maryland,15669643
Colby Jones,Sacramento Kings,G,6-6,207,Xavier,2019706
Alex Len,Sacramento Kings,C,7-2,250,Maryland,3196448
Trey Lyles,Sacramento Kings,F,6-9,234,Kentucky,8000000
JaVale McGee,Sacramento Kings,C-F,7-0,270,Nevada,5734280
Davion Mitchell,Sacramento Kings,G,6-0,202,Baylor,5063640
Malik Monk,Sacramento Kings,G,6-3,200,Kentucky,9945830
Keegan Murray,Sacramento Kings,F,6-8,225,Iowa,8409000
Nerlens Noel,Sacramento Kings,C-F,6-10,220,Kentucky,3196448
Neemias Queta,Sacramento Kings,C,7-0,248,Utah State,2019706
Domantas Sabonis,Sacramento Kings,F-C,7-1,240,Gonzaga,30600000
Jalen Slawson,Sacramento Kings,F,6-7,215,Furman,559782
Aleksandar Vezenkov,Sacramento Kings,F,6-9,225,"Barcelona, Spain",
Dominick Barlow,San Antonio Spurs,F,6-9,215,,559782
Charles Bassey,San Antonio Spurs,C-F,6-9,230,Western Kentucky,2600000
Khem Birch,San Antonio Spurs,C,6-8,233,UNLV,6985000
Malaki Branham,San Antonio Spurs,F,6-4,180,Ohio State,3071880
Reggie Bullock,San Antonio Spurs,G-F,6-6,205,North Carolina,10489600
Julian Champagnie,San Antonio Spurs,F,6-7,217,St. John's,3000000
Sidy Cissoko,San Antonio Spurs,G,6-8,200,NBA G League Ignite,1119563
Zach Collins,San Antonio Spurs,F-C,6-11,250,Gonzaga,7700000
Devonte' Graham,San Antonio Spurs,G,6-1,195,Kansas,
Keldon Johnson,San Antonio Spurs,F-G,6-5,220,Kentucky,20000000
Tre Jones,San Antonio Spurs,G,6-1,185,Duke,9895833
Sandro Mamukelashvili,San Antonio Spurs,F-C,6-10,240,Seton Hall,2019706
Doug McDermott,San Antonio Spurs,F,6-6,225,Creighton,13750000
Cedi Osman,San Antonio Spurs,F,6-7,230,Anadolu Efes,6718842
Cameron Payne,San Antonio Spurs,G,6-1,183,Murray State,6500000
Sir'Jabari Rice,San Antonio Spurs,G,6-4,180,Texas,559782
Jeremy Sochan,San Antonio Spurs,F,6-8,230,Baylor,5316960
Devin Vassell,San Antonio Spurs,G-F,6-5,200,Florida State,5887899
Victor Wembanyama,San Antonio Spurs,F-C,7-4,210,Metropolitans 92,12160632
Blake Wesley,San Antonio Spurs,G,6-4,185,Notre Dame,2504640
Precious Achiuwa,Toronto Raptors,F,6-8,225,Memphis,4379526
O.G. Anunoby,Toronto Raptors,F,6-7,232,Indiana,
Scottie Barnes,Toronto Raptors,F,6-8,225,Florida State,8008680
Chris Boucher,Toronto Raptors,F-C,6-9,200,Oregon,11750000
Gradey Dick,Toronto Raptors,G,6-8,205,Kansas,4536708
Jeff Dowtin Jr.,Toronto Raptors,G,6-3,177,Rhode Island,
Malachi Flynn,Toronto Raptors,G,6-1,175,San Diego State,3873024
Javon Freeman-Liberty,Toronto Raptors,G,6-4,180,DePaul,
Mouhamadou Gueye,Toronto Raptors,F,6-9,210,Pittsburgh,1119563
Ron Harper Jr.,Toronto Raptors,F,6-5,245,Rutgers,
Christian Koloko,Toronto Raptors,C,7-0,230,Arizona,1719864
Jalen McDaniels,Toronto Raptors,F-C,6-9,205,San Diego State,4516000
Markquis Nowell,Toronto Raptors,G,5-8,160,Kansas State,559782
Kevin Obanor,Toronto Raptors,,6-8,235,,1119563
Jakob Poeltl,Toronto Raptors,C,7-1,245,Utah,20000000
Otto Porter Jr.,Toronto Raptors,F,6-8,198,Georgetown,
Dennis Schroder,Toronto Raptors,G,6-1,172,Braunschweig,
Pascal Siakam,Toronto Raptors,F,6-8,230,New Mexico State,37893408
Garrett Temple,Toronto Raptors,G-F,6-6,195,Louisiana State,3196448
Gary Trent Jr.,Toronto Raptors,G-F,6-5,209,Duke,
Thaddeus Young,Toronto Raptors,F,6-8,235,Georgia Tech,8000000
Ochai Agbaji,Utah Jazz,G,6-5,215,Kansas,4114200
Jordan Clarkson,Utah Jazz,G,6-5,194,Missouri,23487629
John Collins,Utah Jazz,F-C,6-9,226,Wake Forest,25340000
Kris Dunn,Utah Jazz,G,6-3,205,Providence,2586484
Simone Fontecchio,Utah Jazz,F,6-7,209,Baskonia,3044872
Keyonte George,Utah Jazz,G,6-4,185,Baylor,3889776
Joey Hauser,Utah Jazz,F,6-9,230,Michigan State,559782
Taylor Hendricks,Utah Jazz,F,6-10,215,Central Florida,5569872
Talen Horton-Tucker,Utah Jazz,G,6-4,234,Iowa State,11020000
Johnny Juzang,Utah Jazz,G,6-6,209,UCLA,559782
Walker Kessler,Utah Jazz,C,7-0,245,Auburn,2831160
Taevion Kinsey,Utah Jazz,G,6-5,190,Marshall,1119563
Romeo Langford,Utah Jazz,G-F,6-5,216,Indiana,2092354
Lauri Markkanen,Utah Jazz,F-C,7-0,240,Arizona,17259999
Kelly Olynyk,Utah Jazz,F-C,6-11,240,Gonzaga,12195122
Nick Ongenda,Utah Jazz,,,,,1119563
Micah Potter,Utah Jazz,C,6-8,248,Wisconsin,559782
Luka Samanic,Utah Jazz,F,6-10,227,Union Olimpija,2066585
Brice Sensabaugh,Utah Jazz,F,6-6,235,Ohio State,2448600
Collin Sexton,Utah Jazz,G,6-2,190,Alabama,17325000
Omer Yurtseven,Utah Jazz,C,6-11,275,Georgetown,2800000
Deni Avdija,Washington Wizards,F,6-9,210,Maccabi Tel Aviv,6263188
Patrick Baldwin,Washington Wizards,F,6-9,220,Wisconsin-Milwaukee,2337720
Jared Butler,Washington Wizards,G,6-3,193,Baylor,559782
Xavier Cooks,Washington Wizards,F,6-8,183,Winthrop,1719864
Bilal Coulibaly,Washington Wizards,G,6-6,195,Metropolitans 92,6614256
Johnny Davis,Washington Wizards,G,6-4,195,Wisconsin,5050800
Daniel Gafford,Washington Wizards,F-C,6-10,234,Arkansas,12402000
Danilo Gallinari,Washington Wizards,F,6-10,236,Olimpia Milano,6802950
Taj Gibson,Washington Wizards,F,6-9,232,Southern California,
Anthony Gill,Washington Wizards,F,6-8,230,Virginia,1997238
Tyus Jones,Washington Wizards,G,6-2,196,Duke,14000000
Corey Kispert,Washington Wizards,F,6-6,224,Gonzaga,3722040
Kyle Kuzma,Washington Wizards,F,6-9,221,Utah,25568182
Mike Muscala,Washington Wizards,F-C,6-11,240,Bucknell,3500000
Kendrick Nunn,Washington Wizards,G,6-3,190,Oakland,
Eugene Omoruyi,Washington Wizards,F,6-6,235,Oregon,559782
Jordan Poole,Washington Wizards,G,6-4,194,Michigan,27955357
Ryan Rollins,Washington Wizards,G,6-3,180,Toledo,1719864
Landry Shamet,Washington Wizards,G,6-4,190,Wichita State,10250000
Tristan Vukcevic,Washington Wizards,F,6-10,220,Real Madrid,
Delon Wright,Washington Wizards,G,6-5,185,Utah,8195122
,,,,,,